Name,Network,Dev,WeD,PWD,JSC,DVS,EVS,Average,Result,Grade,Name Length,Rounded Dev,DVS x 2,Rank,Cumsum Dev,Zscore
MEG,96.0,74.0,65.0,25.0,96.0,65.0,25.0,63.714285714285715,Pass,B,3,74.0,130.0,1.0,74.0,1.6163356566906895
LEG,22.2,66.0,69.0,77.0,55.3,60.0,58.0,58.214285714285715,Pass,C,3,66.0,120.0,2.0,140.0,1.0624511637437244
CHRIS,65.0,63.2,70.0,45.6,63.0,52.0,47.0,57.97142857142857,Pass,C,5,63.0,104.0,3.0,203.2,1.037993926392819
GIANT DOG,95.0,9.0,55.0,52.0,85.0,47.0,51.0,56.285714285714285,Pass,C,9,9.0,94.0,4.0,212.2,0.8682319259571261
QUAGMIRE,63.0,52.0,25.0,66.0,14.0,85.0,66.0,53.0,Pass,C,8,52.0,170.0,5.0,264.2,0.5373398912095886
GRIFFINS,74.0,63.0,18.0,41.0,21.0,63.0,44.0,46.285714285714285,Pass,C,8,63.0,126.0,6.0,327.2,-0.13883078849190142
PETER,51.0,45.0,36.0,52.0,25.0,75.0,30.0,44.857142857142854,Pass,C,5,45.0,150.0,7.5,372.2,-0.2826968905560484
LUOIS,59.0,23.0,5.0,23.0,52.0,96.0,56.0,44.857142857142854,Pass,C,5,23.0,192.0,7.5,395.2,-0.2826968905560484
BRIAN,85.0,25.0,19.0,21.0,45.0,45.0,32.3,38.9,Fail,F,5,25.0,90.0,9.0,420.2,-0.8826185361635404
OBAMA,23.0,50.0,44.0,36.0,45.0,23.6,36.0,36.800000000000004,Fail,F,5,50.0,47.2,10.0,470.2,-1.0941017061978355
PUTIN,14.0,12.0,33.6,63.0,23.0,50.0,56.0,35.94285714285714,Fail,F,5,12.0,100.0,11.0,482.2,-1.180421367436324
STEWIE,45.0,14.0,62.0,12.0,63.0,5.0,45.0,35.142857142857146,Fail,F,6,14.0,10.0,12.0,496.2,-1.260986384592246
